context_3,context_2,context_1,response
,,Смысл верный. Но мы не участвуем в переговорах по размеру зп. Т е вы сами принимаете решение соглашаться или нет.,"Сергей, доброго дня.
В связи с этим есть вопрос, по пункту 3.5.2.1, приложения #2 - я, например, не готов согласиться на любой оффер, с заработной платой ниже определённого порога. Верно ли я понимаю, что наличие хотя-бы одного оффера, принятого или отвергнутого, обязует оплатить курс?"
,,,"Да такой случай был недавно, выпускница устроилась на позицию стажера за 50 тыс. с договоренностью об увеличении зп через три месяца. И будет оплачивать 99 тыс.
Но это исключение.
Нет, обязательства возникают в момент трудоустройства, точнее в момент получения первой зп.
Ранние этапы мы не описывали, подразумевая что вам и нам будет выгодно соглашаться на максимальный офер."
,,,"А есть срок, в который я должна трудоустроиться?
И ещё вопрос, если зп будет 150, то и оплатить за обучение надо 150,да?
При том написано, что оплата в размере оклада, но заплатить надо 33% от заработной платы, на сколько я знаю заработная плата это оклад +премии"
,,"А есть срок, в который я должна трудоустроиться?
И ещё вопрос, если зп будет 150, то и оплатить за обучение надо 150,да?
При том написано, что оплата в размере оклада, но заплатить надо 33% от заработной платы, на сколько я знаю заработная плата это оклад +премии","1. У нас пока все происходит быстро, максимум 3 месяца. Когда выпускник сам не ходит на собеседования, я тут помочь не могу.
 2. Да 150
3. Обычно у наших окладная часть и есть основной заработок. Пока kpi не придумали, которые влияют на премию.
Но бывают такие случаи, когда зп вот так:
июнь - 100 тыс
июль - 100 тыс
август 300 тыс
то по умолчанию средняя - 200 тыс"
,"А есть срок, в который я должна трудоустроиться?
И ещё вопрос, если зп будет 150, то и оплатить за обучение надо 150,да?
При том написано, что оплата в размере оклада, но заплатить надо 33% от заработной платы, на сколько я знаю заработная плата это оклад +премии","1. У нас пока все происходит быстро, максимум 3 месяца. Когда выпускник сам не ходит на собеседования, я тут помочь не могу.
 2. Да 150
3. Обычно у наших окладная часть и есть основной заработок. Пока kpi не придумали, которые влияют на премию.
Но бывают такие случаи, когда зп вот так:
июнь - 100 тыс
июль - 100 тыс
август 300 тыс
то по умолчанию средняя - 200 тыс","Ещё вопрос, а если в июне - 100, июле - 100, в августе 300, но я оплачу 100 сразу, то надо будет доплатить в августе ещё 100?"
,,,"А если после обучения обучающийся устроится на работу не по направлению RPA, а в другой сфере, например, веб-разработчик, бухгалтер и др. Он должен оплатить курсы в этом случае?"
,,"А если после обучения обучающийся устроится на работу не по направлению RPA, а в другой сфере, например, веб-разработчик, бухгалтер и др. Он должен оплатить курсы в этом случае?","нет, но это было бы странно
В договоре написано по специальности связанной с RPA. Все бухгалтера уже отсеялись. Тут только профессионалы. PHP разработчики - то чего я вам не желаю))"
,"А если после обучения обучающийся устроится на работу не по направлению RPA, а в другой сфере, например, веб-разработчик, бухгалтер и др. Он должен оплатить курсы в этом случае?","нет, но это было бы странно
В договоре написано по специальности связанной с RPA. Все бухгалтера уже отсеялись. Тут только профессионалы. PHP разработчики - то чего я вам не желаю))",Соглашусь с мнением про php 😅
"А если после обучения обучающийся устроится на работу не по направлению RPA, а в другой сфере, например, веб-разработчик, бухгалтер и др. Он должен оплатить курсы в этом случае?","нет, но это было бы странно
В договоре написано по специальности связанной с RPA. Все бухгалтера уже отсеялись. Тут только профессионалы. PHP разработчики - то чего я вам не желаю))",Соглашусь с мнением про php 😅,"Подскажите, почему в реквизитах указан счет физ. лица(40817810400054657327), а не организации?"
"нет, но это было бы странно
В договоре написано по специальности связанной с RPA. Все бухгалтера уже отсеялись. Тут только профессионалы. PHP разработчики - то чего я вам не желаю))",Соглашусь с мнением про php 😅,"Подскажите, почему в реквизитах указан счет физ. лица(40817810400054657327), а не организации?","Это мой счет, сейчас идет оформление нового и к моменту расчетов, дадим актуальный. Предлагаю подписать с моим.
Коллеги, давайте решать проблемы по мере их поступления. По моим наблюдениям очень рьяные отсеиваются после двух занятий. Давайте только важные вещи обсуждать.
Дедлайн по подписанию договора 5 июля.
Нюансы обсудите с наставниками."
Соглашусь с мнением про php 😅,"Подскажите, почему в реквизитах указан счет физ. лица(40817810400054657327), а не организации?","Это мой счет, сейчас идет оформление нового и к моменту расчетов, дадим актуальный. Предлагаю подписать с моим.
Коллеги, давайте решать проблемы по мере их поступления. По моим наблюдениям очень рьяные отсеиваются после двух занятий. Давайте только важные вещи обсуждать.
Дедлайн по подписанию договора 5 июля.
Нюансы обсудите с наставниками.",Можно вопрос? Я сегодня весь день за рулем. Можно завтра всё сделать с документами?
,,,После первого-второго занятия всем станет понятно что ждёт в ближайшее время. Имею ввиду взрывной рост работоспособности и личной продуктивности.
,,После первого-второго занятия всем станет понятно что ждёт в ближайшее время. Имею ввиду взрывной рост работоспособности и личной продуктивности.,"Кстати разрешите представить вам Андрея Топоркова, выпускника Академии, сотрудника Белорусского холдинга Конте, вашего потенциального работодателя."
,,,"Здравствуйте, что нам в п. 5.1 документа NDA Mig33 писать?"
,,"Здравствуйте, что нам в п. 5.1 документа NDA Mig33 писать?","Указывайте, пожалуйста себя как физ лицо. 
Суть соглашения о запрете публикаций материалов, записей и другой информации, полученных на курсе в открытых источниках."
,,,Здравствуйте. Не могу найти себя в списке
,,Здравствуйте. Не могу найти себя в списке,Исправил
,Здравствуйте. Не могу найти себя в списке,Исправил,Добавьте пожалуйста в список
,,,Указанное время в таблице - это время начала занятия? Всего будет 4 часа в день?
,,Указанное время в таблице - это время начала занятия? Всего будет 4 часа в день?,"Общее время которое занимает занятие каждый раз по разному, до 4х часов"
,,,"Да, время начала занятия"
,,,Вадим Затеев
,,Вадим Затеев,Такого имени нет в списках
,,,Куда отгрузить оформленные документы?
,,,в личку мне
,,в личку мне,по этому сообщению не понятно куда именно🤔
,,,Личным сообщением
,,,Андрею Деревнину
,,Андрею Деревнину,теперь понятно😁
,,,"Скажите, как быть, если я работаю до 19, а потом в дороге? 
К занятиям смогу присоединяться с 20 часов."
,,"Скажите, как быть, если я работаю до 19, а потом в дороге? 
К занятиям смогу присоединяться с 20 часов.","Это не хорошо. Как вариант первый час с телефона, потом с десктопа.
Но усвоение будет слабым, за рулем трудно видеть экран."
,,,"Еду на метро, но всё равно неудобно, - шумно."
,,"Еду на метро, но всё равно неудобно, - шумно.",Видимо не судьба
,,,"Укажите, пожалуйста, в расписании, что время московское"
,,"Укажите, пожалуйста, в расписании, что время московское","Для запроса лицензии PIX
IDStudio и Ваши данные указываете"
,,,"Здравствуйте! Уже обсуждалась тема удаленной работы, но хотел бы еще раз уточнить. Я живу в небольшом городке и переезжать не планирую (по семейным обстоятельствам). Могу я рассчитывать на удаленную работу? Или мне предложат работу, я откажусь, так как она не удаленная, но курс буду обязан оплатить?"
,,"Здравствуйте! Уже обсуждалась тема удаленной работы, но хотел бы еще раз уточнить. Я живу в небольшом городке и переезжать не планирую (по семейным обстоятельствам). Могу я рассчитывать на удаленную работу? Или мне предложат работу, я откажусь, так как она не удаленная, но курс буду обязан оплатить?","Удаленно много предложений, это нормально для нашей отрасли."
,,,Спасибо!
,,Спасибо!,"❗️❗️❗️Прошу учесть, что лицензии выдает человек руками. Сразу всем не успеет. Запросите заранее!"
,,,"Скажите пожалуйста, на курсе требуется видеокамера или микрофона достаточно? У меня стационарный desktop-компьютер."
,,"Скажите пожалуйста, на курсе требуется видеокамера или микрофона достаточно? У меня стационарный desktop-компьютер.","Микрофона хватит, правда есть традиция - рефлексия с камерой после выпускного, но до этого нужно дожить."
,,,"Сегодня 03.07.23 г. в 19:00 по Мск, начинается общее торжественное открытие нового курса в Академии RPA2 на сервере в Дискорде.
1. Торжественная часть
2. Знакомство двух потоков и распределение по группам
3. Получение первого задания
 Ждем всех прошедших тестирование!"
,,"Сегодня 03.07.23 г. в 19:00 по Мск, начинается общее торжественное открытие нового курса в Академии RPA2 на сервере в Дискорде.
1. Торжественная часть
2. Знакомство двух потоков и распределение по группам
3. Получение первого задания
 Ждем всех прошедших тестирование!","Добрый день!
Подскажите, пожалуйста, а когда/где можно найти/получить ссылку для подключения на сегодняшнее собрание?"
,"Сегодня 03.07.23 г. в 19:00 по Мск, начинается общее торжественное открытие нового курса в Академии RPA2 на сервере в Дискорде.
1. Торжественная часть
2. Знакомство двух потоков и распределение по группам
3. Получение первого задания
 Ждем всех прошедших тестирование!","Добрый день!
Подскажите, пожалуйста, а когда/где можно найти/получить ссылку для подключения на сегодняшнее собрание?","Занятия всегда проходят на сервере в дискорде. Нужно скачать десктопную версию, иметь микрофон. Прошу проверить работу микрофона заранее."
,,,"СПАСИБО
До встречи"
,,,То есть сегодня в 15:00 ничего?
,,То есть сегодня в 15:00 ничего?,Завтра начинаем работу в группах
,,,"В Приложении 2 к договору в пункте 3.2.2 несуразица. Наверное, Исполнитель имеет право требовать чеки от Заказчика об оплате.?"
,,"В Приложении 2 к договору в пункте 3.2.2 несуразица. Наверное, Исполнитель имеет право требовать чеки от Заказчика об оплате.?",Прошу добавить меня в группу 19 ч.
,"В Приложении 2 к договору в пункте 3.2.2 несуразица. Наверное, Исполнитель имеет право требовать чеки от Заказчика об оплате.?",Прошу добавить меня в группу 19 ч.,Добрый день! Прошу добавить меня в группу 19 ч.
"В Приложении 2 к договору в пункте 3.2.2 несуразица. Наверное, Исполнитель имеет право требовать чеки от Заказчика об оплате.?",Прошу добавить меня в группу 19 ч.,Добрый день! Прошу добавить меня в группу 19 ч.,Запись здесь
,,,У меня еще есть вопрос. А если сойдешь на пол пути обучения. Как тогда с оплатой курса?
,,У меня еще есть вопрос. А если сойдешь на пол пути обучения. Как тогда с оплатой курса?,"Оплачивать ничего не нужно.
Такие случай были. Чаще всего причины очень уважительные.
Мы все просто люди."
,,,"Говорили же что оплата только после получения первого оклада, при том если устроились только по этой специальности"
,,,"Да, все верно. Но чтобы получить работу, нужно закончить курс. А что будет если курс не закончить?"
,,"Да, все верно. Но чтобы получить работу, нужно закончить курс. А что будет если курс не закончить?","Почему такая анти- мотивация?
Все созданы условия чтобы закончили. В первую очередь ментор и надзор за процессом и результатом. 
От вас нужно инвестировать только время. Ресурс ценный, но финансово восполнимый."
,,,Ничего
,,Ничего,Спасибо за ответ!
,Ничего,Спасибо за ответ!,"Не получив диплом, вы исключаетесь из нашего сообщества. Если я вижу обман, то удаляю вас из всех чатов техподдержки всех вендоров и вношу в черный список для работодателей."
Ничего,Спасибо за ответ!,"Не получив диплом, вы исключаетесь из нашего сообщества. Если я вижу обман, то удаляю вас из всех чатов техподдержки всех вендоров и вношу в черный список для работодателей.","Отнеситесь к этому как и было озвучено в самом начале, как к стажировке, и все будет! Главное усердно трудиться, изучать что непонятно, коммуницировать внутри потока, тогда придет и успех. Как говорят ныряльщики - чем глубже нырнёшь, тем более ценный жемчуг поднимешь на поверхность...
Кто не знаком с дискордом, заходите сейчас, все настроим и разберём"
Спасибо за ответ!,"Не получив диплом, вы исключаетесь из нашего сообщества. Если я вижу обман, то удаляю вас из всех чатов техподдержки всех вендоров и вношу в черный список для работодателей.","Отнеситесь к этому как и было озвучено в самом начале, как к стажировке, и все будет! Главное усердно трудиться, изучать что непонятно, коммуницировать внутри потока, тогда придет и успех. Как говорят ныряльщики - чем глубже нырнёшь, тем более ценный жемчуг поднимешь на поверхность...
Кто не знаком с дискордом, заходите сейчас, все настроим и разберём",Собираемся через 30 мин в Конференц Холле
,,,"В Дискорде заранее зарегистрировался, но при переходе по ссылке выходит вот такое сообщение"
,,"В Дискорде заранее зарегистрировался, но при переходе по ссылке выходит вот такое сообщение",Аналогично
,,,"Или это из-за того, что не начата встреча ещё?
И такой вопрос. Из браузера нет предложения перейти в приложение, а в самом приложении поиск предлагается только по адресу почты обучающей организации 
Подскажите, как сейчас подключиться через приложение?"
,,"Или это из-за того, что не начата встреча ещё?
И такой вопрос. Из браузера нет предложения перейти в приложение, а в самом приложении поиск предлагается только по адресу почты обучающей организации 
Подскажите, как сейчас подключиться через приложение?",Еще не началось? Или я не понимаю чего...
,"Или это из-за того, что не начата встреча ещё?
И такой вопрос. Из браузера нет предложения перейти в приложение, а в самом приложении поиск предлагается только по адресу почты обучающей организации 
Подскажите, как сейчас подключиться через приложение?",Еще не началось? Или я не понимаю чего...,У меня тишина
"Или это из-за того, что не начата встреча ещё?
И такой вопрос. Из браузера нет предложения перейти в приложение, а в самом приложении поиск предлагается только по адресу почты обучающей организации 
Подскажите, как сейчас подключиться через приложение?",Еще не началось? Или я не понимаю чего...,У меня тишина,Уже идёт
Еще не началось? Или я не понимаю чего...,У меня тишина,Уже идёт,Где?
У меня тишина,Уже идёт,Где?,"в дискорде
ссылка выше
заходите
ссылка"
Уже идёт,Где?,"в дискорде
ссылка выше
заходите
ссылка","Ага, спасибо. А видео нет?"
,,,Нет звука
,,Нет звука,
,,,"голос и видео
Задание на завтра, робот-парсер"
,,,Файл не открывается
,,Файл не открывается,перезалил
,,,"Обращение 1001022. Ключ пока не пришел, ответа тоже пока не было."
,,"Обращение 1001022. Ключ пока не пришел, ответа тоже пока не было.",обращение 1001023. ключ не пришел
,"Обращение 1001022. Ключ пока не пришел, ответа тоже пока не было.",обращение 1001023. ключ не пришел,обращение 1001024 ключ пока не пришел.
"Обращение 1001022. Ключ пока не пришел, ответа тоже пока не было.",обращение 1001023. ключ не пришел,обращение 1001024 ключ пока не пришел.,Обращение 1001021 - лицензию пока не прислали.
обращение 1001023. ключ не пришел,обращение 1001024 ключ пока не пришел.,Обращение 1001021 - лицензию пока не прислали.,"Лицензия пришла кому-нибудь? Их тех, кто вчера запрашивал"
обращение 1001024 ключ пока не пришел.,Обращение 1001021 - лицензию пока не прислали.,"Лицензия пришла кому-нибудь? Их тех, кто вчера запрашивал",Доброе утро! Мне пришла
Обращение 1001021 - лицензию пока не прислали.,"Лицензия пришла кому-нибудь? Их тех, кто вчера запрашивал",Доброе утро! Мне пришла,Пока нет
,,,Напишите у кого нет лицензии.
,,Напишите у кого нет лицензии.,"Не пришла, Ладошкин"
,,,👋 пришла
,,,У меня
,,У меня,Фамилия?
,,,Шулик
,,Шулик,Кто еще?
,Шулик,Кто еще?,Павлухин. Не прислали. Обращение 1001018
,,,Решаю вопрос с железом
,,Решаю вопрос с железом,Лицензия есть?
,,,"Для лицензии, я так поняла, нужно Id конкретного компьютера. Поэтому пока не писала письмо."
,,"Для лицензии, я так поняла, нужно Id конкретного компьютера. Поэтому пока не писала письмо.",На повторный запрос не пришла
,"Для лицензии, я так поняла, нужно Id конкретного компьютера. Поэтому пока не писала письмо.",На повторный запрос не пришла,"Ждите, придет. Нужно заранее писать
Чья эта фотография в телеге?
Есть в группе люди с таким акаунтом?
Этот бойкий юноша запросил большой пакет лицензий от моего имени))"
"Для лицензии, я так поняла, нужно Id конкретного компьютера. Поэтому пока не писала письмо.",На повторный запрос не пришла,"Ждите, придет. Нужно заранее писать
Чья эта фотография в телеге?
Есть в группе люди с таким акаунтом?
Этот бойкий юноша запросил большой пакет лицензий от моего имени))",Просит более качественное фото с лицом :)
На повторный запрос не пришла,"Ждите, придет. Нужно заранее писать
Чья эта фотография в телеге?
Есть в группе люди с таким акаунтом?
Этот бойкий юноша запросил большой пакет лицензий от моего имени))",Просит более качественное фото с лицом :),Хочу!)) Бесплатные?)
"Ждите, придет. Нужно заранее писать
Чья эта фотография в телеге?
Есть в группе люди с таким акаунтом?
Этот бойкий юноша запросил большой пакет лицензий от моего имени))",Просит более качественное фото с лицом :),Хочу!)) Бесплатные?),Да
Просит более качественное фото с лицом :),Хочу!)) Бесплатные?),Да,Благодарю!🤙
,,,"Доброго дня всем! А напомните, пожалуйста, еще раз - где можно вопросы поспрашивать? В дискорде никого нет в хэлпрумах..."
,,"Доброго дня всем! А напомните, пожалуйста, еще раз - где можно вопросы поспрашивать? В дискорде никого нет в хэлпрумах...",Здравствуйте! В хелпрумах вас не видно
,,,"Добрый день, можно ссылку на видео занятия от 3 июля?"
,,"Добрый день, можно ссылку на видео занятия от 3 июля?",Лицензия пришла
,,,"У кого нибудь получилось решить проблему- Операция была отменена, так как страница полностью не прогружена?"
,,"У кого нибудь получилось решить проблему- Операция была отменена, так как страница полностью не прогружена?","Такая же хрень🤔
Ожидание пока не помогает"
,,,Уже третий 😌
,,,Я решил тем что поставил таймер на 60
,,Я решил тем что поставил таймер на 60,Я так много ещё не ставил😝
,,,"Теперь во время теста долго ждать но зато страница успевает прогружаться и работает
Я поставил таймер после открытия хром на 60 и после других действий во время переходов на другие страницы примерно 30"
,,,Мне кажется проблема в самом сайте днс
,,Мне кажется проблема в самом сайте днс,"Да, тоже так кажется"
,,,"Я решила вопрос тем, что стала грузить с мвидео"
,,"Я решила вопрос тем, что стала грузить с мвидео","Тоже вариант, думал об этом, только ситилинк"
,,,Когда я тестил с вк там все прогружалось сразу и работало
,,,Может кто нибудь подсказать как дату записать текущую?
,,Может кто нибудь подсказать как дату записать текущую?,В разделе датавремя есть метод
,,,"Добрый день, где найти ссылку на занятие 4 июля в 15-00?"
,,"Добрый день, где найти ссылку на занятие 4 июля в 15-00?","Татьяна, дискорд скачивается один раз и больше ссылок не нужно. Если будут вопросы пишите"
,,,"DateTime.Now.ToString(""yyyy.MM.dd-hh-mm"")"
,,"DateTime.Now.ToString(""yyyy.MM.dd-hh-mm"")",Спасибо!
,"DateTime.Now.ToString(""yyyy.MM.dd-hh-mm"")",Спасибо!,Время текущее
,,,кто нибудь делал проверку на наличие товара?
,,кто нибудь делал проверку на наличие товара?,"Я сделала через try/catch/finally.
В try если все хорошо
В catch если не нашёл товар
Finally пустой"
,,,result.ToString().Equals(row[0].ToString()) == true не могу понять что не так с этим условием оно то работает то нет
,,result.ToString().Equals(row[0].ToString()) == true не могу понять что не так с этим условием оно то работает то нет,"А можно сначала дать теорию, а потом перейти к практике.....ааааа можно помощь 😅"
,result.ToString().Equals(row[0].ToString()) == true не могу понять что не так с этим условием оно то работает то нет,"А можно сначала дать теорию, а потом перейти к практике.....ааааа можно помощь 😅",по полю где типо результатов не найдено? просто бывает что вводишь несуразицу а поля этого нет и какие то результаты выдает
result.ToString().Equals(row[0].ToString()) == true не могу понять что не так с этим условием оно то работает то нет,"А можно сначала дать теорию, а потом перейти к практике.....ааааа можно помощь 😅",по полю где типо результатов не найдено? просто бывает что вводишь несуразицу а поля этого нет и какие то результаты выдает,"для начинающих действительно, начинать очень трудно. В идеале надо было бы дать им пару недель на прохождение 3х курсов в RPA Academy. Там можно было получить ключ для студии на пол-года, если заранее озаботиться"
"А можно сначала дать теорию, а потом перейти к практике.....ааааа можно помощь 😅",по полю где типо результатов не найдено? просто бывает что вводишь несуразицу а поля этого нет и какие то результаты выдает,"для начинающих действительно, начинать очень трудно. В идеале надо было бы дать им пару недель на прохождение 3х курсов в RPA Academy. Там можно было получить ключ для студии на пол-года, если заранее озаботиться",Выполнить действие на веб элементе scrollIntoView не работает)))
по полю где типо результатов не найдено? просто бывает что вводишь несуразицу а поля этого нет и какие то результаты выдает,"для начинающих действительно, начинать очень трудно. В идеале надо было бы дать им пару недель на прохождение 3х курсов в RPA Academy. Там можно было получить ключ для студии на пол-года, если заранее озаботиться",Выполнить действие на веб элементе scrollIntoView не работает))),Добрый день! У меня лицензия тоже пока не пришла
,,,"И постоянно отваливается расширение на хроме.
Если у меня одной так-переставлю хром и расширение."
,,"И постоянно отваливается расширение на хроме.
Если у меня одной так-переставлю хром и расширение.","Чувствую, что в будущем, на конкретном месте работы, придëтся плотно дружить с местным системным администратором. По хорошему, прежде чем робота внедрять, нужно почистить вирусы, и вообще, лучше на новую систему ставить."
,,,"У кого тормозит открытие сайта днс, попробуйте отключить протокол ipv6 для вашего канала интернет. Это может быть из-за проблем с работой DNS-сервиса в среде с одновременной работой IPV4 и IPV6, в сочетании с используемым каналом интернет (через точки доступа, роутеры и проч)"
